Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub-Location,Facility Type,Agency,Latitude,Longitude
29,KIAMBU DISTRICT HOSPITAL,251,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA S/AREA,TOWNSHIPKIAMBAA,1,MOH,-1.16938,36.82993
36,KIJABE HOSPITAL,252,CENTRAL,KIAMBU,LARI,KIJABE,KIJABE,1,MISS,-0.94349,36.59431
51,NAZARETH HOSPITAL,255,CENTRAL,KIAMBU,LIMURU,KARAMBAINI,KARAMBAINI,1,MISS,-1.13378,36.7257
62,P.C.E.A. KIKUYU HOSPITAL,2441,CENTRAL,KIAMBU,KIKUYU,KIKUYU,KIKUYU TOWNSHIP,1,MISS,-1.26667,36.6667
66,TIGONI SUB-DISTRICT HOSPITAL,257,CENTRAL,KIAMBU,LIMURU,TIGONI,ITHANJIKIAMBU,1,MOH,-1.12859,36.6493
30,KERUGOYA DISTRICT HOSPITAL,301,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYUCENTRAL,1,MOH,-0.50132,37.2805
52,MWEA MISS HOSPITAL,302,CENTRAL,KIRINYAGA,MWEA,THIBA,NGUKA,1,MISS,-0.66137,37.34924
3,GAICHANJIRU MISSION HOSPITAL,388,CENTRAL,MARAGUA,KANDARA,ITHIRU,GAKUI/KARIMAMWARO,1,MISS,-0.852765,36.977445
18,MARAGUA DISTRICT HOSPITAL RHTC,395,CENTRAL,MARAGUA,MARAGUA,NGINDA,GAKOIGO,1,MOH,-0.78693,37.12663
36,KIRIAINI MISS. HOSPITAL,2379,CENTRAL,MURANGA,MATHIOYA,KIRU,KIRIAINIMURANGA,1,MISS,-0.597467,36.9482
45,MURANGA DISTRICT HOSPITAL,393,CENTRAL,MURANGA,KIHARU,TOWNSHIP,KARURIMURANGA,1,MOH,-0.71587,37.15985
47,MURIRANJAS SUB-DISTRICT HOSP.,394,CENTRAL,MURANGA,KAHURO,MUGOIRI,KAHURO,1,MOH,-0.74315,36.97306
34,NORTH KINANGOP CATHOLIC HOSPITAL,436,CENTRAL,NYANDARUA,NORTH KINANGOP,ENGINEER,GATHARA,1,MISS,-0.5992,36.5833
37,NYAHURURU DISTRICT HOSPITAL,437,CENTRAL,NYANDARUA,OL JORO OROK,GATIMU,GIKINGI,1,MOH,0.023274,36.3418
42,OL'KALOU DISTRICT HOSPITAL,438,CENTRAL,NYANDARUA,OL KALOU,OL KALOU,MUNYEKI,1,MOH,-0.2707,36.3735
6,CONSOLATA HOSPITAL MATHARI,496,CENTRAL,NYERI,MUNICIPALITY,MUKARO,MATHARI,1,MISS,-0.41129,36.91898
41,KARATINA SUB-DISTRICT HOSPITAL,495,CENTRAL,NYERI,MATHIRA,KARATINA,CHERU,1,MOH,-0.47339,37.12943
54,MARY IMMACULATE HOSP. MWEIGA,1694,CENTRAL,NYERI,KIENI WEST,MWEIGA,KAMATONGU,1,MISS,-0.31667,36.9
57,MT. KENYA HOSPITAL,497,CENTRAL,NYERI,MUNICIPALITY,MUKARO,MAJENGONYERI,1,MOH,-0.42414,36.93414
59,MUKURWENI SUB-DISTRICT HOSP.,498,CENTRAL,NYERI,MUKURWE-INI,MUHITO,GATURIA,1,MOH,-0.55924,37.04464
75,OTHAYA SUB-DISTRICT HOSPITAL,500,CENTRAL,NYERI,OTHAYA,IRIA-INI,KIAHAGU,1,MOH,-0.5399,36.93995
82,TUMUTUMU MISS. HOSPITAL,501,CENTRAL,NYERI,MATHIRA,KIRIMUKUYU,MBOGOINI,1,MISS,-0.48549,37.07946
9,GATUNDU GENERAL SUB-DISTRICT HOSPITAL,250,CENTRAL,THIKA,GATUNDU,NGENDA,ITURU,1,MOH,-1.000232,36.902312
27,KILIMAMBOGO MISS. HOSPITAL,254,CENTRAL,THIKA,MUNICIPALITY,GATUANYAGA,GATUANYAGA,1,MISS,-1.0712,37.2202
37,MARY HELP OF THE SICK  MISSION HOSPITAL,0,CENTRAL,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,KOMU,1,MISS,-1.046838,37.068919
58,OAKLANDS HOSPITAL,2406,CENTRAL,THIKA,RUIRU,RUIRU,MUGUTHA,1,MISS,-1.135135,36.964865
73,NYERI PROVINCIAL GENERAL HOSP.,499,CENTRAL,NYERI,MUNICIPALITY,MUKARO,MAJENGONYERI,2,MOH,-0.42399,36.96113
60,ST LUKE'S HOSPITAL,4752,CENTRAL,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,KOMU,1,MISS,-1.048742,37.079567
61,ST. MULUMBA CATHOLIC HOSPITAL,4754,CENTRAL,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,MAJENGOTHIKA,1,MISS,-1.07798,37.1346
62,THIKA DISTRICT HOSPITAL,256,CENTRAL,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,MAJENGOTHIKA,1,MOH,-1.03678,37.0776
