Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub-Location,Facility Type,Agency,Latitude,Longitude
29,PORT VICTORIA SUB-DISTRICT HOSP,2266,WESTERN,BUSIA,BUDALANGI,BUNYALA WEST,BUKANI,1,MOH,0.097198,33.975805
30,RUKALA DISP,2250,WESTERN,BUSIA,BUDALANGI,BUNYALA SOUTH,RUKALA,4,MOH,0.056622,33.992112
22,UGINA DISP,1433,NYANZA,SUBA,MFANGANO,MFANGANO SOUTH,WAKULA SOUTH,4,MOH,-0.49123,34.00212
12,MAGETA DISP,165,NYANZA,BONDO,USIGU,MAGETA ISLAND,MAHANGABONDO,4,MOH,-0.1325,34.0103
12,HAKATI DISP,1508,WESTERN,BUSIA,BUDALANGI,BUNYALA NORTH,MUNDERE,4,MOH,0.137745,34.011425
25,WAKULA DISP,1376,NYANZA,SUBA,MFANGANO,MFANGANO WEST,WAKULA NORTH,4,MOH,-0.44123,34.01232
7,BUSEMBE DISP,2480,WESTERN,BUSIA,FUNYULA,BWIRI,BUSEMBE,4,MOH,0.184948,34.016435
31,SIO PORT H C,2262,WESTERN,BUSIA,FUNYULA,NANGUBA,BUJWANGA,3,MOH,0.22515,34.021322
18,MADUWA DISP,2247,WESTERN,BUSIA,BUDALANGI,BUNYALA SOUTH,OBARO,4,MOH,-0.00561,34.0223
16,SOKLO DISP,4489,NYANZA,SUBA,MFANGANO,MFANGANO WEST,SOKLO SOUTH,4,MOH,-0.46231,34.02231
6,GOT AGULU HEALTH CENTRE,1346,NYANZA,BONDO,USIGU,WEST YIMBO,GOT AGULU,3,MOH,-0.0341,34.0248
43,BUDALANGI DISP,0,WESTERN,BUSIA,BUDALANGI,BUNYALA EAST,BUDALANGI,4,MOH,0.130355,34.027765
21,MUKHOBOBLA H C,2260,WESTERN,BUSIA,BUDALANGI,BUNYALA CENTRAL,MAGOMBE WEST,3,MOH,0.081572,34.029852
13,SENA HEALTH CENTRE,1429,NYANZA,SUBA,MFANGANO,MFANGANO EAST,WAKINGA,3,MOH,-0.4679,34.0621
2,AGENGA DISP,2244,WESTERN,BUSIA,FUNYULA,AGENGA,AGENGA,4,MOH,0.252663,34.070668
3,KISEGI SUB-DISTRICT HOSPITAL,357,NYANZA,SUBA,GWASSI,GWASSI NORTH,UTERERE,1,MOH,-0.63123,34.08234
30,MUHURU HEALTH CENTRE,1454,NYANZA,MIGORI,MUHURU,WEST MUHURU,KITHII,3,MOH,-0.997569,34.084083
27,NANGINA DISP,2249,WESTERN,BUSIA,FUNYULA,NANGOSIA,BUKHULUNGU,4,MOH,0.27726,34.098623
28,USIGU DISP,1365,NYANZA,BONDO,USIGU,CENTRAL YIMBO,USIGU,4,MOH,-0.0568,34.0994
21,NYAMBARE DISP,4495,NYANZA,SIAYA,URANGA,USONGA,NYADORERA 'A',4,MOH,0.133418,34.102043
8,BUSIA DISTRICT HOSPITAL,2264,WESTERN,BUSIA,TOWNSHIP,TOWNSHIP,MJINI CENTRAL,1,MOH,0.460407,34.104497
27,ULUNGO DISP,4480,NYANZA,BONDO,USIGU,NORTH YIMBO,BAR KANYANGO,4,MOH,0.01815,34.10807
3,BUDUTA DISP,2243,WESTERN,BUSIA,FUNYULA,AGENGA,AJIBO,4,MOH,0.22236,34.109533
26,NAMBUKU DISP,2248,WESTERN,BUSIA,FUNYULA,NAMBUKU,LUGALA,4,MOH,0.318277,34.110365
35,SIFUYO DISP,4256,NYANZA,SIAYA,UKWALA,WEST UGENYA,SIFUYO WEST,4,MOH,0.1639,34.1165
22,MUNDONGO DISPENSARY,0,WESTERN,BUSIA,MATAYOS,BUKHAYO WEST,MUNDIKA,4,MOH,0.380793,34.121233
16,ALUPE LEPROSY HOSPITAL,2263,WESTERN,TESO,CHAKOL,ANGOROM,ALUPE,8,MOH,0.48561,34.1218
7,GOT MATAR DISP,1347,NYANZA,BONDO,USIGU,NORTH YIMBO,NYAMONYE,4,MOH,-0.0309,34.1315
23,NAMBALE H C,2261,WESTERN,BUSIA,FUNYULA,ODIADO,ODIADO,3,MOH,0.27348,34.14324
6,MAGUNGA HEALTH CENTRE,1402,NYANZA,SUBA,GWASSI,GWASSI CENTRAL,MAGUNGA,3,MOH,-0.69086,34.1474
21,KARUNGU HEALTH CENTRE,1443,NYANZA,MIGORI,KARUNGU,WEST KARUNGU,SORI,3,MOH,-0.841291,34.1565
7,HAWINGA DISP,1348,NYANZA,SIAYA,URANGA,S.W.ALEGO,KABURA-UHUYI,4,MOH,0.1344,34.1624
50,RIAT DISP,4317,NYANZA,MIGORI,KARUNGU,WEST KARUNGU,SORI,4,MOH,-0.797676,34.1645
20,MATAYO'S H C,2258,WESTERN,BUSIA,MATAYOS,NANGOMA,MUYAFWA,3,MOH,0.365967,34.165233
15,SINDO RHDC  AGG. SUBA DISTRICT HOSPITAL,1474,NYANZA,SUBA,CENTRAL,KAKSINGRI WEST,RANGWA EAST,1,MOH,-0.541249,34.1658
29,UYAWI DISP,1366,NYANZA,BONDO,BONDO,CENTRAL SAKWA,UYAWI,4,MOH,-0.16139,34.16597
19,KANYOUR DISP,0,NYANZA,MIGORI,NYATIKE,CENTRAL KADEM,KARAPOLO,4,MOH,-0.904643,34.1706
