County,Male,Female,Latitude,Longitude
Baringo,279081,276480,0.66925198,35.94646535
Bomet,359727,364459,-0.726294583,35.29859759
Bungoma,671548,703515,0.74928524,34.64046088
Busia,356122,387824,0.387443678,34.19363149
Elegeiyo Marakwet,183738,186260,0.802218811,35.53656315
Embu,254303,261909,-0.603974378,37.62650133
Garissa,334939,288121,-0.488910345,40.19927854
Homa Bay,357273,392058,-0.542809394,34.35899687
Isiolo,73694,69600,1.010443078,38.54215312
Kajiado,345146,342166,-2.121383578,36.90884219
Kakamega,800989,859662,0.403683464,34.74451115
Kericho,381980,376359,-0.295732906,35.31407001
Kiambu,802609,820673,-1.068706066,36.82356426
Kilifi,535526,574209,-3.175732013,39.68668755
Kirinyaga,260630,267424,-0.524746296,37.31986811
Kisii,550464,601818,-0.774603757,34.77472298
Kisumu,474760,494149,-0.169458695,34.83520347
Kitui,481282,531427,-1.491038531,38.40692102
Kwale,315997,333934,-4.183149527,39.1904119
Laikipia,198625,200602,0.323604123,36.77172786
Lamu,53045,48494,-2.078682544,40.88286068
Machakos,543139,555445,-1.279512307,37.41267603
Makueni,430710,453817,-2.1576841,37.78824557
Mandera,559943,465813,3.436469488,40.73881017
Marsabit,151112,140054,2.978658787,37.56953611
Meru,670656,685645,0.166779241,37.76403705
Migori,444356,472814,-0.989536844,34.36334531
Mombasa,486924,452446,-4.02125622,39.6508827
Muranga,457864,484717,-0.809590537,37.03272252
Nairobi,1605230,1533139,-1.29341347,36.86818927
Nakuru,804582,798743,-0.463675432,36.07847909
Nandi,376488,376477,0.186688887,35.11048767
Narok,429026,421894,-1.254790332,35.57632921
Nyamira,287048,311204,-0.6427324,34.96465956
Nyandarua,292155,304113,-0.322077823,36.48286916
Nyeri,339725,353833,-0.342923589,36.95647813
Samburu,112007,111940,1.316854626,37.11839407
Siaya,398652,443652,-0.062129889,34.2476417
Taita / Taveta,145334,139323,-3.434733994,38.418602
Tana River,119853,120222,-1.526366604,39.4178692
Tharaka,178451,186879,-0.207061218,37.87029727
Trans-Nzoia,407172,411585,1.050954809,34.95741998
Turkana,445069,410330,3.424849196,35.43575846
Uasin Gishu,448994,445185,0.526085892,35.32201167
Vihiga,262716,291906,0.076265796,34.72232304
Wajir,363766,298175,1.808137624,40.03498564
West Pokot,254827,257863,1.740106171,35.24384681
